make,model,mileage,fuel-type,first-registration,price,price_label,position,seller_name,seller_location,listing_zip_code,listing_url,title,drive_type,extended_range,car_type
ford,mustang mach-e,32230,e,07-2021,34990,top-price,1,CIAC Fordstore Gent Sterrenbeoordeling 4.5 van 5 (30),Ashlo Geerinck • BE-9050 Ledeberg,9050,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-99kwh-awd-extended-range-elektrisch-wit-9409fb61-cfa9-41e6-a79f-85a0a361f486,Ford Mustang Mach-E 99kWh AWD Extended Range,AWD,yes,Premium
ford,mustang mach-e,34800,e,09-2023,36950,top-price,2,VAMAUTO Sterrenbeoordeling 5 van 5 (343),Christa Vandecasteele • BE-8880 Sint-Eloois-Winkel,8880,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-76-kwh-awd-premium-standard-range-pano-memory-elektrisch-zwart-9352c5af-4781-4b26-ac24-9c82d9f4570d,Ford Mustang Mach-E 76 kWh AWD Premium Standard Range - Pano/Memory,AWD,no,Premium
ford,mustang mach-e,48217,e,03-2022,33500,good-price,3,Garage Feyaerts - Ford Sterrenbeoordeling 4.5 van 5 (16),Seger Gekiere • BE-3200 Aarschot,3200,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-rwd-76-kwh-269-pk-elektrisch-7d40100a-54fe-45e1-a526-cf30f3dab65b,Ford Mustang Mach-E RWD / 76 kWh / 269 PK!,RWD,no,unknown
ford,mustang mach-e,5,e,04-2025,65990,good-price,4,AB Automotive nv Sterrenbeoordeling 4.5 van 5 (19),BE-1800 Vilvoorde,1800,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-mach-e-gt-vapor-blue-elektrisch-blauw-70cc47ad-4a8a-4a8b-9eb2-35623c286621,Ford Mustang Mach-E * Mach E - GT - Vapor Blue *,unknown,unknown,GT
ford,mustang mach-e,31700,e,04-2022,32500,top-price,5,TR Premium Cars Sterrenbeoordeling 5 van 5 (44),Thibault Rasschaert • BE-9340 Lede,9340,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-76-kwh-l-awd-l-standard-range-l-b-o-l-elekt-stoel-elektrisch-zilver-7bdedd91-cc4d-49b8-b287-2e2388075ffe,Ford Mustang Mach-E 76 kWh l AWD l Standard Range l B&O l Elekt. Stoel,AWD,no,Premium
ford,mustang mach-e,39000,e,07-2021,31990,top-price,6,ARCADI CAR Sterrenbeoordeling 4.5 van 5 (40),Maxime Cornelis • BE-6180 Courcelles,6180,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-99-kwh-awd-extended-range-full-options-elektrisch-rood-18efd21b-f6e1-41f6-801d-805c8b9ef4c1,Ford Mustang Mach-E 99 kWh AWD Extended Range - Full options,AWD,yes,Premium
ford,mustang mach-e,61985,e,04-2022,29999,good-price,7,TR Premium Cars Sterrenbeoordeling 5 van 5 (44),Thibault Rasschaert • BE-9340 Lede,9340,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-76-kwh-l-awd-l-standard-range-l-b-o-l-elekt-stoel-elektrisch-zilver-ee858736-0650-4085-ae80-1b326f85b73e,Ford Mustang Mach-E 76 kWh l AWD l Standard Range l B&O l Elekt. Stoel,AWD,no,Premium
ford,mustang mach-e,49700,e,04-2022,30999,top-price,8,TR Premium Cars Sterrenbeoordeling 5 van 5 (44),Thibault Rasschaert • BE-9340 Lede,9340,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-76-kwh-l-awd-l-standard-range-l-b-o-l-dark-matter-elektrisch-grijs-7994bd84-d36a-43d2-bb8d-e0ac259882e9,Ford Mustang Mach-E 76 kWh l AWD l Standard Range l B&O l Dark Matter,AWD,no,Premium
ford,mustang mach-e,35500,e,02-2023,39000,good-price,9,Private Seller,Not specified,9820,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-mustang-mach-e-premium-elektrisch-zwart-28caaeae-5d0a-4b82-b4d3-1a4d15e41f0d,Ford Mustang Mach-E Mustang Mach-E PREMIUM,unknown,unknown,Premium
ford,mustang mach-e,88400,e,05-2021,26890,good-price,10,Spirit of Legend Cars Sterrenbeoordeling 4.5 van 5 (42),BE-5030 Gembloux,5030,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-99-kwh-rwd-premium-extended-range-b-o-acc-360-elektrisch-zwart-b7a64731-21c0-4498-891b-d19174d2a015,Ford Mustang Mach-E 99 kWh RWD Premium Extended Range B&O/ACC/360°,RWD,yes,Premium
ford,mustang mach-e,34631,e,06-2023,38945,toolow-price ,11,Van Mossel Used Cars Center Antwerpen Sterrenbeoordeling 5 van 5 (50),Van Mossel Used Cars Center Antwerpen • BE-2060 Antwerpen,2060,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-premium-awd-76kwh-pano-dak-navi-led-camera-elektrisch-blauw-b242f4b2-3f35-4db6-8f32-2622e26a14aa,Ford Mustang Mach-E Premium AWD 76kWh - Pano dak NAVI | LED | CAMERA |,AWD,no,Premium
ford,mustang mach-e,113347,e,06-2021,27900,top-price,12,FordStore Bilzen Sterrenbeoordeling 5 van 5 (23),Christophe de Schaetzen • BE-3740 Bilzen,3740,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-premium-99kw-extended-range-351pk-pano-dak-b-o-elektrisch-rood-ad826cf7-e907-4594-b194-a5c0b34a422f,Ford Mustang Mach-E Premium 99KW extended range 351PK Pano.Dak+B&O,unknown,yes,Premium
